RA;CCP;INTERNET;RENDA;INSEGURANÇA
Águas Claras;0,005;0,782;5772,25;0,642
Arniqueira;0,005;0,719;2706,46;0,579
Brazlândia;0,005;0,503;1186,97;0,632
Ceilândia;0,013;0,612;1593,59;0,605
Cruzeiro;0,003;0,736;4343,76;0,4
Gama;0,008;0,722;1727,91;0,674
Guará;0,006;0,709;3448,08;0,634
Itapoã;0,009;0,535;994,96;0,765
Jardim Botânico;0,001;0,793;5640,96;0,417
Lago Norte;0,003;0,778;6325,83;0,308
Lago Sul;0,002;0,812;10870,43;0,5
Paranoá;0,013;0,731;1055,79;0,808
Planaltina;0,006;0,605;1082,88;0,435
Plano Piloto/Brasília;0,023;0,844;7308,5;0,506
Recanto das Emas;0,009;0,637;1066,2;0,623
Riacho Fundo I;0,006;0,715;1939,39;0,385
Riacho Fundo II;0,003;0,636;1389,32;0,625
Samambaia;0,011;0,687;1693,53;0,763
Santa Maria;0,010;0,651;1339,45;0,603
São Sebastião;0,005;0,597;1041,92;0,59
Sobradinho I;0,006;0,614;2482,64;0,423
Sobradinho II;0,003;0,61;1505,56;0,519
Sol Nascente/Por do Sol;0,005;0,654;875,88;0,655
"Sudoeste/Octogonal	";0,002;0,879;7666,17;0,421
Vicente Pires;0,004;0,789;2453,4;0,696
